word,pos
ကရိန်း,နာမ်
ကရွတ်,နာမ်
ကရွတ်ကင်းလျှောက်,ကြိယာဝိသေသန [ ဥပစာ ]
ကလတက်,နာမ်
ကလနား,နာမ်
ကလနံ,နာမ်
ကလမောင်း,နာမ်
ကလလရည်ကြည်,နာမ်
ကလအော်,နာမ်
ကလအုံးဆောင်းထပ်,နာမ်
ကလိ,ကြိယာ
ကလိထိုး,ကြိယာ
ကလိယုဂ်,နာမ်
ကလီကမာ,ကြိယာဝိသေသန
ကလီစာ,နာမ်
ကလူ,ကြိယာ [ ရှေး ]
ကလေကချေ,နာမ်
ကလေး,နာမ်
ကလေး,ကြိယာ
ကလေး,နာမဝိသေသန
ကလေး,ပစ္စည်း
ကလေးကလား,ကြိယာဝိသေသန
ကလဲ့,နာမ်
ကလဲ့စားချေ,ကြိယာ
ကလော,နာမ်
ကလော်,ကြိယာ
ကလော်တုတ်,ကြိယာ
ကလက်,ကြိယာ
ကလက်သိမ်,နာမ်
ကလောင်,နာမ်
ကလောင်တံ,နာမ်
ကလောင်နာမည်,နာမ်
ကလိုင်,နာမ်
ကလိုင်,နာမ်
ကလိုင်,နာမ်
ကလစ်,နာမ်
ကလန်,နာမ်
ကလန်,နာမ်
ကလန်ကဆန်,ကြိယာဝိသေသန
ကလန်ကလား,နာမဝိသေသန
ကလန့်,ကြိယာ
ကလိန်းကလက်,ကြိယာဝိသေသန
ကလပ်,နာမ်
ကလပ်,နာမ်
ကလပ်ကြီးကြိုး,နာမ်
ကလပ်ကြိုး,နာမ်
ကလပ်ငယ်ကြိုး,နာမ်
ကလာပ်စည်း,နာမ်
ကလိမ်,နာမ်
ကလိမ်ကျ,ကြိယာ
ကလိမ်ချုံ,နာမ် [ ဥပစာ ]
ကလိမ်စေ့ငြမ်းဆင်,ကြိယာ
ကလယ်,နာမ်
ကလယ်ကလယ်,ကြိယာဝိသေသန
ကလျာ,နာမ်
ကလျော့ကလျည်း,ကြိယာဝိသေသန
ကလွန်တောင်,နာမ် [ ဒေသ ]
ကဝိ,နာမ်
ကဝေ,နာမ်
ကဝိန်,နာမ်
ကသပေါင်း,နာမ်
ကသိကအောက်,ကြိယာဝိသေသန
ကသီ,ကြိယာ
ကသီကရီ,ကြိယာဝိသေသန
ကသီလင်တ,ကြိယာဝိသေသန
ကသောကမျော,ကြိယာဝိသေသန
ကသောက်ကရောက်,ကြိယာဝိသေသန
ကသောင်းကနင်း,ကြိယာဝိသေသန
ကသောင်းမြောင်တိုက်,နာမ်
ကသစ်,နာမ်
ကသစ်,နာမ် [ ဗေဒင် ]
ကသည်ကပင်,ကြိယာဝိသေသန [ ရှေး ]
ကသည်း,နာမ်
ကသိုဏ်း,နာမ်
ကသုတ်ကရက်,ကြိယာဝိသေသန
ကသယ်,နာမ် [ ရှေး ]
ကသယ်,နာမ်
ကာ,ကြိယာ
ကာ,နာမ်
ကာ,သမ္ဗန္ဓ
ကာ,ပစ္စည်း
ကာကာဆိုင်,နာမ်
ကာကီ,နာမ်
ကာကျူပွတ်,နာမ်
ကာကွယ်,ကြိယာ
ကာချင်း,နာမ်
ကာချယ်,နာမ်
ကာဆွဲပေါက်,နာမ်
ကာတောင်း,နာမ်
ကာတယ်,နာမ်
ကာတွန်း,နာမ်
ကာတွန်း,နာမ်
ကာပြန်,ကြိယာ
ကာဖတ်,နာမ်
ကာဗွန်,နာမ် [ ဓာတု ]
ကာဗွန်စက္ကူ,နာမ်
ကာဘော်လစ်ဆီ,နာမ်
ကာမ,နာမ်
ကာမဂုဏ်,နာမ်
ကာမပိုင်,နာမ်
ကာမဘုံ,နာမ်
ကာမိ,ကြိယာ
ကာမတ္တ,ပစ္စည်း
ကာယ,နာမ်
ကာယကံ,နာမ်
ကာယကံမြောက်,ကြိယာဝိသေသန
ကာယကံရှင်,နာမ်
ကာယပညာ,နာမ်
ကာယလုပ်သား,နာမ်
ကာယသိဒိ္ဓ,နာမ်
ကာယိန္ဒြေ,နာမ်
ကာရက,နာမ် [ ပါ၊ သဒ္ဒါ ]
ကာရိုက်ကြိယာ,နာမ် [ ပါ၊ သဒ္ဒါ ]
ကာရန်,နာမ် [ စာပေ ]
ကာရန်သင့်,ကြိယာ [ ဥပစာ ]
ကာလ,နာမ်
ကာလတန်ဖိုး,နာမ်
ကာလနဂါး,နာမ် [ ဥပစာ ]
ကာလနာ,နာမ်
ကာလပေါ်,နာမဝိသေသန
ကာလပေါက်ဈေး,နာမ်
ကာလဝမ်း,နာမ်
ကာလသမီး,နာမ်
ကာလသား,နာမ်
ကာလသားခေါင်း,နာမ်
ကာလသားချက်,နာမ်
ကာလသားရောဂါ,နာမ်
ကာဠသုတ်,နာမ် [ ကျမ်းဂန် ]
ကား,ကြိယာ
ကား,နာမ်
ကား,နာမ်
ကား,ပစ္စည်း
ကားကြက်,ကြိယာ
ကားစင်,နာမ်
ကားရား,ကြိယာဝိသေသန
ကားလိပ်,နာမ်
ကိမိလဗေဒ,နာမ်
ကိရိယာ,နာမ်
ကိလေသာ,နာမ်
ကိလိဋ္ဌဒေါသ,နာမ် [ စာပေ ]
ကီလိုမီတာ,နာမ်
ကီလိုဝပ်,နာမ်
ကီဝီ,နာမ်
ကု,ကြိယာ
ကုစား,ကြိယာ
ကုဋီ,နာမ်
ကုဋေ,နာမ်
ကုဋေကုဋာ,နာမ်
ကုတို့,နာမ်
ကုဗ,နာမ်
ကုမုဒြာ,နာမ်
ကုလလေးတာ,နာမ်
ကုလသမဂ္ဂ,နာမ်
ကုလား,နာမ်
ကုလား,နာမဝိသေသန
ကုလားကာ,နာမ်
ကုလားကျောင်း,နာမ်
ကုလားတက်,နာမ်
ကုလားတည်,နာမ်
ကုလားထိုင်,နာမ်
ကုလားပဲ,နာမ်
ကုလားဖန်ထိုး,ကြိယာ
ကုလားဖြူ,နာမ်
ကုလားမခြေထောက်,နာမ်
ကုလားမျက်စိ,နာမ်
ကုလားရွှေ,နာမ်
ကုလားသေကုလားမော,ကြိယာဝိသေသန [ ဥပစာ ]
ကုလားဟင်း,နာမ်
ကုလားအော်,နာမ်
ကုလားအုတ်,နာမ်
ကုလားအုံးဆောင်းထပ်,နာမ်
ကုသ,ကြိယာ
ကုသိနာရုံ,နာမ်
ကုသိုလ်,နာမ်
ကုဟည်း,နာမ်
ကူ,ကြိယာ
ကူ,ကြိယာ
ကူညီ,ကြိယာ
ကူထိုးဗိုး,နာမ်
ကူပွန်,နာမ်
ကူဖော်လောင်ဖက်,နာမ်
ကူရွပ်,နာမ်
ကူလီ,နာမ် [ ခေတ်ကုန် ]
ကူး,ကြိယာ
ကူးခပ်,ကြိယာ
ကူးတို့,နာမ်
ကူးတို့ခ,နာမ်
ကူးတို့လျား,နာမ်
ကူးနာယဉ်းနာ,နာမ်
ကူးလူးဆက်ဆံ,ကြိယာ
ကူးသန်း,ကြိယာ
ကေစိဝါဒ,နာမ်
ကေတိကာတိလုပ်,ကြိယာ
ကေဒါ,နာမ်
ကေသရာဇာ,နာမ်
ကေသာ,နာမ် [ ကဗျာ ]
ကဲ,ကြိယာ
ကဲ,ပစ္စည်း [ အပြော ]
ကဲကြည့်,ကြိယာ
ကဲလား,နာမ်
ကဲ့,ကြိယာ
ကဲ့ရဲ့,ကြိယာ
ကဲ့ရဲ့ သင်္ဂြိုဟ်,ကြိယာ
ကဲ့သို့,ပစ္စည်း
ကော,ကြိယာ
ကော,ပစ္စည်း [ အပြော ]
ကောဇာဂြိုဟ်,နာမ် [ ဗေဒင် ]
ကောဇာသက္ကရာဇ်,နာမ်
ကောဏာဂုံ,နာမ်
ကောလာဟလ,နာမ်
ကောလိသိန်,နာမ်
ကောလီကြေ,ကြိယာ
ကောလိပ်,နာမ်
ကော့,ကြိယာ
ကော့ကော်ကံကား,ကြိယာဝိသေသန
ကော့ရရော့,ကြိယာဝိသေသန
ကော်,ကြိယာ
ကော်,နာမ်
ကော်,နာမ်
ကော်စီကော်,ကြိယာ [ ရက်ကန်း ]
ကော်စီတံ,နာမ် [ ရက်ကန်း ]
ကော်ဇော,နာမ်
ကော်တရာ,နာမ် [ ဥပစာ ]
ကော်ပီ,နာမ်
ကော်ပိုရေးရှင်း,နာမ်
ကော်ပြား,နာမ်
ကော်ပြန့်,နာမ်
ကော်ဖီ,နာမ်
ကော်ဖတ်,နာမ်
ကော်ဖတ်,နာမ်
ကော်မတီ,နာမ်
ကော်မရှင်,နာမ်
ကော်ရော်,ကြိယာ [ ရှေး ]
ကော်ရင်ဂျီ,နာမ်
ကော်ရင်ဂျီဆေး,နာမ်
ကော်ရစ်,နာမ်
ကော်လာ,နာမ်
ကော်လံ,နာမ်
ကော်လံစား,နာမ်
ကော်လုံးကတ်လုံး,နာမ်
ကံ,နာမ် [ သဒ္ဒါ ]
ကံကုန်,ကြိယာ
ကံကြီး,ကြိယာ
ကံကြီးကံငယ်,နာမ် [ ဝိနည်း ]
ကံကြီးထိုက်,ကြိယာ
ကံကြမ္မာ,နာမ်
ကံကျွေး,နာမ်
ကံကျွေးချ,ကြိယာ
ကံချာ,နာမ်
ကံစပ်,ကြိယာ
ကံစမ်း,ကြိယာ
ကံစွပ်,ကြိယာ
ကံစွပ်ကံညား,ကြိယာဝိသေသန
ကံဆိုးမိုးမှောင်ကျ,ကြိယာ
ကံဆောင်,ကြိယာ
ကံတူအကျိုးပေး,နာမ်
ကံပြင်း,နာမ်
ကံမြစ်,ကြိယာ
ကံလိုက်,ကြိယာ
ကံသီ,ကြိယာ
ကံသေကံမ,ကြိယာဝိသေသန
ကံသုံးပါး,နာမ်
ကံ့ကူဆံ,နာမ်
ကံ့ကူတံ,နာမ်
ကံ့ကူလက်လှည့်ဆရာ,နာမ်
ကံ့ကော်,နာမ်
ကိုက,နာမ်
ကိုကိုး,နာမ်
ကိုကင်း,နာမ်
ကိုဓဥပဒေ,နာမ် [ ဥပဒေ ]
ကိုရင်,နာမ်
ကိုရင်,နာမ်စား
ကိုလိုနီ,နာမ်
ကိုး,နာမ်
ကိုး,ကြိယာ
ကိုးကား,ကြိယာ
ကိုးကုန်းကိုးကျင်း,ကြိယာဝိသေသန
ကိုးကြောင်း,နာမ် [ ရှေး ]
ကိုးကွယ်,ကြိယာ
ကိုးစား,ကြိယာ
ကိုးမီး,နာမ်
ကိုးရိုးကားရား,ကြိယာဝိသေသန
ကိုးလိုးကန့်လန့်,ကြိယာဝိသေသန
ကက်,နာမ်
ကက်,နာမ်
ကက္ကရာ,နာမ်
ကက္ကရု,နာမ်
ကက္ကု,နာမ်
ကက္ကုကမျဉ်း,နာမ်
ကက္ကုဆူး,နာမ်
ကက္ကုဆူးချီ ကက္ကုဆူးချ,နာမ် [ စာပေ ]
ကက်ကော်တကန်,ကြိယာဝိသေသန
ကက်ကက်လန်,ကြိယာဝိသေသန
ကက်ကင်းဓာတ်,နာမ် [ ဗေဒင် ]
ကက်ဆက်,နာမ်
ကက်တလောက်,နာမ်
ကက်ပေါင်,နာမ်
ကက်ဘိနက်,နာမ်
ကက်အိမ်,နာမ်
ကုက္ကလံ,နာမ်
ကုက္ကား,နာမ်
ကုက္ကို,နာမ်
ကုက္ကုစ္စ,နာမ် [ အရပ် ]
ကောက်,နာမ်
ကောက်,နာမဝိသေသန
ကောက်,ကြိယာ
ကောက်,နာမ်
ကောက်,ကြိယာ
ကောက်ကစင်း,နာမ် [ ရှေး ]
ကောက်ကာငင်ကာ,ကြိယာဝိသေသန
ကောက်ကောက်ပါ,ကြိယာဝိသေသန
ကောက်ကျစ်,နာမဝိသေသန
ကောက်ကြီး,နာမ်
ကောက်ကြောင်း,နာမ်
ကောက်ကွက်,နာမ်
ကောက်ခံ,ကြိယာ
ကောက်ချက်,နာမ် [ လွှတ်ရုံး ]
ကောက်ချက်ချ,ကြိယာ
ကောက်ငန်း,နာမ်
ကောက်ငယ်,နာမ်
ကောက်စော,နာမ်
ကောက်စိုက်တံ,နာမ်
ကောက်ဆ,နာမ်
ကောက်ဆိုင်ပုံ,နာမ်
ကောက်ဆန်ကြွေ,နာမ်
ကောက်ဆုပ်,နာမ်
ကောက်ဆွ,နာမ်
ကောက်ညှင်း,နာမ်
ကောက်ညှင်းကျည်တောက်,နာမ်
ကောက်တီ,နာမ်
ကောက်နုတ်,ကြိယာ
ကောက်ပဲသီးနှံ,နာမ်
ကောက်ပြန့်,နာမ်
ကောက်ရိုး,နာမ်
ကောက်ရိုးနွယ်,နာမ်
ကောက်ရိုးမီး,နာမ် [ ဥပစာ ]
ကောက်ရင်ပန်း,နာမ်
ကောက်လတ်,နာမ်
ကောက်လန်းတီ,နာမ်
ကောက်လျင်,နာမ်
ကောက်လှိုင်း,နာမ်
ကောက်သားထည့်,ကြိယာ
ကောက်သင်း,နာမ်
ကောက်သင်းကောက်,ကြိယာ
ကောက်သင်းကောက်စကား,နာမ် [ ဥပစာ ]
ကောက်သစ်စားပွဲ,နာမ်
ကောက်ဦး,နာမ်
ကိုက်,ကြိယာ
ကိုက်,နာမ်
ကိုက်,နာမ်
ကိုက်တံ,နာမ်
ကိုက်တောင်,နာမ်
ကိုက်ထိုး,ကြိယာ
ကိုက်ထိုး,ကြိယာ
ကိုက်လန်,နာမ်
ကင်,ကြိယာ
ကင်္ကာ,နာမ် [ ရှေး ]
ကင်ဆာ,နာမ်
ကင်ပလင်း,နာမ်
ကင်ပေတိုင်,နာမ်
ကင်ပိမ့်,နာမ်
ကင်ပျစ်,နာမ်
ကင်ပွန်း,နာမ်
ကင်ပွန်းတပ်,ကြိယာ
ကင်မရာ,နာမ်
ကင်း,ကြိယာ
ကင်း,နာမ်
ကင်း,ကြိယာ
ကင်း,နာမ်
ကင်းခြေများ,နာမ်
ကင်းစီး,နာမ်
ကင်းစောင့်,ကြိယာ
ကင်းစုန်း,နာမ်
ကင်းစမ်းထိုး,ကြိယာ
ကင်းစမ်းလေ,နာမ်
ကင်းတဲ,နာမ်
ကင်းထောက်,ကြိယာ
ကင်းပုစွန်,နာမ်
ကင်းပုန်း,နာမ်
ကင်းပုံ,နာမ်
ကင်းမလက်မည်း,နာမ်
ကင်းမြီးကောက်,နာမ်
ကင်းမြီးကောက်ထောင်,ကြိယာ
ကင်းမွန်,နာမ်
ကင်းလိပ်ချော,နာမ်
ကင်းလွတ်ကုန်,နာမ်
ကင်းလွတ်ခွင့်,နာမ်
ကင်းဝပ်,ကြိယာ
ကောင်,နာမ်
ကောင်,ပစ္စည်း
ကောင်ကလေး,နာမ်
ကောင်စီ,နာမ်
ကောင်စစ်ဝန်,နာမ်
ကောင်တာ,နာမ်
ကောင်မ,နာမ်
ကောင်မကလေး,နာမ်
ကောင်ဟန်,နာမ်
ကောင်း,နာမဝိသေသန
ကောင်း,ပစ္စည်း
ကောင်းကင်,နာမ်
ကောင်းကောင်းကန်းကန်း,ကြိယာဝိသေသန
ကောင်းချီး,နာမ်
ကောင်းချီးပေး,ကြိယာ
ကောင်းစား,ကြိယာ
ကောင်းတေ,နာမဝိသေသန [ ရှေး ]
ကောင်းမှု,နာမ်
ကောင်းမှု,နာမ်
ကောင်းရာကောင်းကြောင်း,နာမ်
ကိုင်,ကြိယာ
ကိုင်,နာမ် [ ဗန်း ]
ကိုင်ကန်,ကြိယာ [ ရှေး ]
ကိုင်တွယ်,ကြိယာ
ကိုင်း,နာမ်
ကိုင်း,နာမဝိသေသန
ကိုင်း,နာမ်
ကိုင်း,ပစ္စည်း [ အပြော ]
ကိုင်းဆတ်မြီး,နာမ်
ကိုင်းထောက်,ကြိယာ
ကိုင်းပန်းပြား,နာမ်
ကိုင်းပျ,နာမ်
ကိုင်းဖြူမြီး,နာမ်
ကိုင်းရှိုင်း,ကြိယာ
ကိုင်းဥ,နာမ်
ကစ္စည်း,နာမ်
ကစ္စည်းကျမ်း,နာမ်
ကိစ္စ,နာမ်
ကိစ္စချော,ကြိယာ [ အရပ် ]
ကိစ္စတုံး,ကြိယာ [ အရပ် ]
ကိစ္စမရှိ,ကြိယာ
ကိစ္စများ,ကြိယာ
ကိစ္စဝိစ္စ,နာမ်
ကုဋ္ဌ,နာမ်
ကောဋ္ဌာသ,နာမ်
ကဏ္ဌကောစ,ကြိယာဝိသေသန
ကဏ္ဍဌာန်,နာမ်
ကဏ္ဍ,နာမ်
ကဏ္ဍကမြင်း,နာမ်
ကဏ္ဏသုခ,နာမ်
ကတ်,ကြိယာ
ကတ်,နာမ်
ကတ်ကြေး,နာမ်
ကတ္တရသင်္ချေ,နာမ်
ကတ္တရာ,နာမ်
ကတ္တရာစေး,နာမ်
ကတ္တရီ,နာမ်
ကတ္တဝါ,နာမ်
ကတ္တား,နာမ် [ သဒ္ဒါ ]
ကတ္တား,နာမ်
ကတ္တားခြား,ကြိယာ
ကတ္တီပါ,နာမ်
ကတ်တီးကတ်ဖဲ့,ကြိယာဝိသေသန
ကတ္တူ,နာမ်
ကတ်ဖဲ့,ကြိယာဝိသေသန
ကတ်ဖို,နာမ်
ကတ်ဖိုကတ်မ,နာမ်
ကတ်ဖိုးကတ်ဖဲ့,ကြိယာဝိသေသန
ကတ်သီးကတ်သတ်,ကြိယာဝိသေသန
ကတ်သတ်,ကြိယာ
ကိတ်,နာမ် [ ဗေဒင် ]
ကိတ္တိမ,နာမဝိသေသန
ကိတ်မုန့်,နာမ်
ကုတ်,ကြိယာ
ကုတ်,နာမ်
ကုတ်,ကြိယာ [ ရှေး ]
ကုတ်ကတ်,ကြိယာ
ကုတ်သဲ,ကြိယာ [ ရှေး ]
ကုတ်ဟီး,နာမ်
ကုတ်ဟည်း,နာမ်
ကုတ်အင်္ကျီ,နာမ်
ကန်,ကြိယာ
ကန်,ကြိယာ
ကန်,နာမ်
ကန်,ကြိယာ
ကန်,နာမ်
ကန်ကြိုး,နာမ်
ကန်ကြိုးဆက်,နာမ်
ကန်စွန်း,နာမ်
ကန်စွန်းကြီး,နာမ်
ကန်ဆင်းမိုး,နာမ်
ကန္တာရ,နာမ်
ကန္တိဂုဏ်,နာမ် [ စာပေ ]
ကန်တော့,ကြိယာ
ကန်တော့ဆွမ်း,နာမ်
ကန်တော့ပွဲ,နာမ်
ကန်ထရိုက်တာ,နာမ်
ကန္ဒရဝတီ,နာမ်
ကန်ပေါင်,နာမ်
ကန်ပိုင်,နာမ် [ ရှေး ]
ကန်သင်း,နာမ်
ကန်သင်းဆွဲ,ကြိယာ
ကန့်,နာမ်
ကန့်,ကြိယာ
ကန့်ကလာ,နာမ်
ကန့်ကွက်,ကြိယာ
ကန့်ချုပ်,နာမ်
ကန့်ထောက်,နာမ်
ကန့်ပလူ,နာမ်
ကန့်လန့်,ကြိယာဝိသေသန
ကန့်လန့်,နာမ်
ကန့်လန့်ကာ,နာမ်
ကန့်လန့်ကျင်,နာမ်
ကန့်သတ်,ကြိယာ
ကန့်အိတ်,နာမ်
ကန်း,ကြိယာ
ကန်းမ,နာမ်
ကိန္နရာ,နာမ်
ကိန္နရီ,နာမ်
ကိန်း,ကြိယာ
ကိန်း,နာမ်
ကိန်းကြီးခန်းကြီး,ကြိယာဝိသေသန
ကိန်းခန်း,နာမ်
ကိန်းပြည့်,နာမ် [ သင်္ချာ ]
ကိန်းရော,နာမ် [ သင်္ချာ ]
ကိန်းရင်း,နာမ် [ သင်္ချာ ]
ကိန်းရှင်,နာမ် [ သင်္ချာ ]
ကိန်းဝပ်,ကြိယာ
ကိန်းသေ,ကြိယာ
ကိန်းသေ,နာမ် [ သင်္ချာ ]
ကိန်းသေပေါက်,ကြိယာဝိသေသန
ကိန်းအောင်း,ကြိယာ
ကုန်,နာမ်
ကုန်,ကြိယာ
ကုန်,ပစ္စည်း
ကုန်ကုန်,ကြိယာဝိသေသန
ကုန်ကျ,ကြိယာ
ကုန်ကြမ်း,နာမ်
ကုန်ချော,နာမ်
ကုန်ခြောက်,နာမ်
ကုန်စလယ်,ကြိယာ
ကုန်စလယ်,နာမ်
ကုန်စင်,ကြိယာ
ကုန်စည်,နာမ်
ကုန်စည်ဒိုင်,နာမ်
ကုန်စိမ်း,နာမ်
ကုန်တိုက်,နာမ်
ကုန်ထုတ်ကိရိယာ,နာမ်
ကုန်ထုတ်စွမ်းအား,နာမ်
ကုန်ထုတ်အရင်းအနှီး,နာမ်
ကုန်နုပ်,နာမ်
ကုန်ပဒေသာဆိုင်,နာမ်
ကုန်ပုပ်,နာမ်
ကုန်မာ,နာမ်
ကုန်လုပ်ဆက်ဆံရေး,နာမ်
ကုန်သေး,နာမ်
ကုန်သည်,နာမ်
ကုန်သည်လေ,နာမ် [ ပထဝီ ]
ကုန်သွယ်,ကြိယာ
ကုန်း,ကြိယာ
ကုန်း,နာမ်
ကုန်း,ကြိယာဝိသေသန
ကုန်းကြောင်း,နာမ်
ကုန်းချော,ကြိယာ
ကုန်းတိုက်,ကြိယာ
ကုန်းတပ်,နာမ်
ကုန်းနှီး,နာမ်
ကုန်းပိုး,ကြိယာ
ကုန်းပေါင်,နာမ်
ကုန်းပတ်,နာမ်
ကုန်းပတ်ကြိုး,နာမ်
ကုန်းပြင်မြင့်,နာမ်
ကုန်းပြန်,ကြိယာ
ကုန်းဘောင်ကြီး,နာမ်
ကုန်းဘောင်ခေတ်,နာမ်
ကုန်းမ,နာမ်
ကုန်းမူ,နာမ်
ကုန်းလမ်း,နာမ်
ကုန်းလယ်စီး,နာမ်
ကပ်,ကြိယာ
ကပ်,နာမ်
ကပ်,နာမ်
ကပ်ကလူ,နာမ်
ကပ်ကိုး,ကြိယာ
ကပ်ကျော်ဘုရား,နာမ်
ကပ်စေးနှဲ,နာမဝိသေသန
ကပ်စေးနှဲ,နာမ်
ကပ်ဆေး,ကြိယာ
ကပ်ဆိုက်,ကြိယာ
ကပ်တိုက်,ကြိယာ
ကပ်နာ,နာမ်
ကပ္ပကျမ်း,နာမ်
ကပ္ပနာ,နာမ် [ ရှေး ]
ကပ္ပဗိန္ဒု,နာမ်
